node_id,titles
1010,"""Opinions on Various Topics""|""Assorted Opinions""|""Assorted Political Comments""|""Assorted Political Commentaries""|""Varied Political Discussions"""
1006,Financial Commentary.|Financial Commentary.|Financial Commentary.|Financial and Economic Discussions.|Financial and Economic Comments
963,"Debt Ceiling Discussions|Debt Ceiling Discussions.|Debt ceiling and financial markets.|""Debt Ceiling Discussions""|Debt Ceiling Discussions."
971,SVB Collapse Discussion.|SVB Collapse Discussion.|SVB Collapse-related Comments|SVB Collapse Discussions|SVB Collapse Comments
993,FTX Bankruptcy Discussion|FTX Bankruptcy Discussion|FTX Bankruptcy Coverage.|FTX Bankruptcy Comments.|FTX Bankruptcy Coverage.
991,Inflation Discussion Group.|Inflation Discussion Group|Inflation Discussion.|Macroeconomic Policy Discussions.|Inflation Discussion Group.
998,Political Analysis.|Political Analysis.|Political Commentary.|Political Analysis|Inflation and Economic Policy
972,TARP and Fed Discussions|TARP and Fed Discussions.|TARP and Fed Discussions.|TARP and Fed Discussions.|TARP and Fed Policy.
985,"""Political Party Critiques""|""Different Views on Democratic Strategies""|Political Analysis.|""Democrats and Working Class""|Political Analysis."
853,"""Domestic Fossil Fuel Policy""|""Domestic Energy Policy""|""Fossil Fuel Policy Debate""|Fossil Fuel Policy Discussion|Domestic Energy Policy."
904,Taxation and Financial Discussions.|Taxation and Wealth|Taxation and Finance.|Taxation and Finance Discussion|Taxation and Finance.
917,Fiscal Policy Comments.|Fiscal Policy Discussion|Fiscal Policy Discussions|Economic Policy Comments|Fiscal Policy Discussions
1009,Commentary on Social Issues|Assorted commentaries.|Variety of perspectives|Commentary on Social Issues.|Diverse Topics.
974,"Anti-Rule-Enforcement Leftists|Anti-establishment commentary.|Anti-rule enforcement mindset.|Anti-Rule-Enforcement Leftists|""Anti-Establishment Comments"""
982,"""Controversial Leftist Ideology|Commentary on Beliefs and Values.|Internet Atheism|""Provocative Opinions on Society|""Controversial Leftist Ideas"""
757,"Genetic Lottery Comments.|Genetic Lottery Discussion Group.|Genetic Lottery Comments.|""The Genetic Lottery"" discussion.|Genetics and Society."
978,Online Commentary on Various Topics.|Online Discourse.|Internet Commentary on Culture and Society|Online Ideological Discussion.|Internet Commentary on Society
697,"""The Righteous Mind"" discussion.|Moral Intuition Group.|""The Righteous Mind"" discussion.|Emotional Intuition and Politics.|""The Righteous Mind"" Discussion."
885,"Atheism and Religion Analysis.|""Atheism on the Internet""|""Atheism and Religion Discussion""|""The Rise of Atheism""|Early Internet Atheism."
931,"""Social Media and Mental Health""|""Social media and mental health""|""Commentary on Social Media's Impact|""Social Media and Mental Health""|""Social Media and Mental Health""."
902,Obesity discussion.|Obesity Discussion Group|Obesity Discussion.|Obesity discussions.|Obesity-discussion.
967,Unconventional Relationship Views.|Unconventional Relationship Perspectives|Unconventional Relationship Views.|Unconventional Views on Relationships.|Unconventional Relationship Views.
995,"Perspectives on Current Issues|Group name: Diverse perspectives.|Varied perspectives on relevant topics.|""Commentary on various topics""|Diverse Topics."
949,Zoning and Homelessness Discussions.|Zoning and Housing Comments.|Zoning and Homelessness Discussions.|Zoning and Homelessness Discussions.|Debating solutions for housing shortage.
946,"""Gun Control Discussion""|Debating Gun Control Solutions.|Gun Control Debate.|""Gun Control Debate""|Gun Control Debate Comments."
937,"Wheat and Geopolitics.|Global Wheat Dynamics.|""Wheat Reserves and Trade""|""Geopolitical Wheat Dynamics""|Wheat and Geopolitics."
954,Race and Ethnicity Discussions.|Group Name: Racial and Political Issues|Race and Immigration Discussions.|Racial and Policy Discussions|Racial Issues
1004,"""Media and Tech Discussions""|""Thoughtful Comments""|""Thoughtful Comments on Various Topics""|Comments on media consumption.|""Varied Opinions on Business and"
983,Crypto and Tech Discussions.|Crypto and Technology Discussions.|Crypto and Tech Discussions.|Crypto and Tech Discussions.|Crypto and Tech Discussions.
920,"""Crypto Discussions""|Crypto Discussions.|NFTs and Crypto Discussion|""NFTs and Crypto Discussion""|NFTs and Crypto Discussion"
927,Twitter Discussions.|Controversial Twitter Discussions.|Twitter Commentary.|Twitter Discussions.|Twitter Discussions on Various Topics
772,Intel's Manufacturing Struggles|Intel's Struggles and CHIPS|Intel's Manufacturing Struggle.|Intel and CHIPS Act Debate.|Intel's Manufacturing Struggle.
959,Podcast recommendations.|Podcast Recommendations.|Podcast Recommendations|Podcast and Article Recommendations.|Podcast Recommendations.
990,Media and Tech Critique.|Media and Tech Analysis.|Media Industry Analysis|Media and Tech Analysis.|Media and Tech Analysis.
951,Twitter Business Model Discussion.|Twitter Business Model Discussion.|Twitter Moderation and Client Separation.|Twitter Business Model Analysis.|Twitter Business Analysis.
925,Media Consumption Habits.|Media Landscape Analysis.|Media Ecosystem|Media Landscape.|Media Consumption Habits.
909,Media Business Challenges|Media Business Challenges.|Media Bundle Discussion|Media Business Challenges|Media Business Challenges
913,"Varied Experiences and Innovations|DMV Experiences, AWS Innovation,|Experiences and Innovations|Varied Experiences and Services.|Tech Insights."
924,Internet Regulation Comments|Tech Policy Discussions.|Internet Regulation Discussions|Internet Regulation Discussions|Tech and Regulation
832,Substack's Financial Situation|Substack's Financial Challenges.|Substack's Financial Challenges.|Substack's Financial Situation|Substack's Financial Situation
980,"""Subscriber Comment Insights""|""Subscriber Comment Analysis""|""SB Subscriber Comments""|Commentators|""Subscriber Comment Analysis"""
1007,"Tech Industry Discussions.|Tech Work Discussion|Tech Industry Observations.|Tech Industry Discussions|""Tech industry observations"""
994,"AI Discussions|AI and Future of Work.|AI and Text Generation.|""AI and Technology Discussions""|AI Discussions."
1000,Education and Society Discussions|Opinions on Various Topics|Education and Society|Diverse opinions on various topics.|Education and Society.
950,"""Software Engineering Industry Trends""|""Tech Employment and Education""|""Tech Employment and Education""|Software Engineering Comments.|""Tech Career Discussions"""
926,"Academic Discussions|Science Comments|Scientific Commentary.|""STEM PhD Admissions""|Statistics and Surveys."
948,"""Workplace Challenges and Solutions""|Workplace Improvement Strategies|""Education Discussions""|Teaching and Performance Discussion.|Educational Commentary."
977,Education Reform Comments.|Education Policy Discussion.|Education Reform Debate.|Education Reform Ideas.|Education Policy Discourse
986,"Tech Layoffs and Employment|Tech Layoffs and Labor Market|Tech Industry Commentary.|""Tech Labor Market Dynamics""|Tech Layoffs and Employment"
